id,probability,payoutMultiplier
319,1000000,171.49
320,1000000,85.29
321,1000000,300.3
322,1000000,285.32
323,1000000,36.12
324,1000000,72.52
325,1000000,162.33
326,1000000,60.04
327,1000000,155.8
328,1000000,178.14
329,1000000,204.54
330,1000000,186.3
331,1000000,47.1
332,1000000,119.9
333,1000000,0.02
334,1000000,128.93
335,1000000,112.46
336,1000000,282.7
337,1000000,24.9
338,1000000,12.24
339,1000000,391.19
340,1000000,194.21
341,1000000,39.54
342,1000000,0.1
343,1000000,210.2
344,1000000,204.73
345,1000000,0.88
346,1000000,178.56
347,1000000,179.12
348,1000000,109.52
349,1000000,235.81
350,1000000,41.0
351,1000000,145.4
352,1000000,208.3
353,1000000,269.49
354,1000000,10.19
355,1000000,2.8
356,1000000,298.54
357,1000000,38.79
358,1000000,67.18
359,1000000,120.56
360,1000000,0.51
361,1000000,245.7
362,1000000,212.09
363,1000000,247.38
364,1000000,0.0
365,1000000,41.42
366,1000000,20.39
367,1000000,5.7
368,1000000,240.04
369,1000000,106.79
370,1000000,3.12
371,1000000,261.52
372,1000000,4.7
373,1000000,47.78
374,1000000,0.03
375,1000000,176.45
376,1000000,65.43
377,1000000,1.11
378,1000000,60.29
379,1000000,122.32
380,1000000,63.88
381,1000000,0.6
382,1000000,4.62
383,1000000,93.22
384,1000000,0.22
385,1000000,159.4
386,1000000,29.09
387,1000000,2.96
388,1000000,81.48
389,1000000,0.56
390,1000000,181.32
391,1000000,104.59
392,1000000,127.63
393,1000000,9.3
394,1000000,1.0
395,1000000,32.3
396,1000000,100.25
397,1000000,229.74
398,1000000,90.46
399,1000000,0.96
400,1000000,222.72
401,1000000,26.83
402,1000000,40.39
403,1000000,61.34
404,1000000,253.17
405,1000000,101.78
406,1000000,282.13
407,1000000,0.02
408,1000000,4.37
409,1000000,6.4
410,1000000,0.35
411,1000000,167.95
412,1000000,27.73
413,1000000,209.74
414,1000000,213.21
415,1000000,206.97
416,1000000,241.06
417,1000000,130.49
418,1000000,72.64
419,1000000,302.65
420,1000000,26.54
421,1000000,77.22
422,1000000,290.45
423,1000000,2.13
424,1000000,32.75
425,1000000,0.81
426,1000000,48.36
427,1000000,15.86
428,1000000,0.5
429,1000000,266.47
430,1000000,178.18
431,1000000,20.11
432,1000000,112.05
433,1000000,28.38
434,1000000,206.22
435,1000000,210.64
436,1000000,17.99
437,1000000,36.49
438,1000000,0.28
439,1000000,121.83
440,1000000,262.57
441,1000000,178.08
442,1000000,93.3
443,1000000,15.55
444,1000000,148.17
445,1000000,97.8
446,1000000,187.79
447,1000000,13.83
448,1000000,1.2
449,1000000,282.02
450,1000000,98.15
451,1000000,191.95
452,1000000,204.46
453,1000000,164.42
454,1000000,105.39
455,1000000,2.0
456,1000000,44.03
457,1000000,18.53
458,1000000,171.01
459,1000000,0.06
460,1000000,287.69
461,1000000,1.51
462,1000000,0.93
463,1000000,29.49
464,1000000,316.59
465,1000000,166.55
466,1000000,84.81
467,1000000,332.27
468,1000000,17.1
469,1000000,176.0
470,1000000,83.32
471,1000000,46.31
472,1000000,180.63
473,1000000,3.97
474,1000000,124.81
475,1000000,150.09
476,1000000,142.12
477,1000000,0.72
478,1000000,0.14
479,1000000,0.32
480,1000000,45.01
481,1000000,11.6
482,1000000,238.64
483,1000000,12.59
484,1000000,135.23
485,1000000,103.76
486,1000000,3.81
487,1000000,368.52
488,1000000,118.03
489,1000000,2.56
490,1000000,240.25
491,1000000,316.37
492,1000000,16.4
493,1000000,135.71
494,1000000,5.06
495,1000000,281.88
496,1000000,41.86
497,1000000,174.49
498,1000000,29.1
499,1000000,169.3
500,1000000,2.79
501,1000000,4.92
502,1000000,107.27
503,1000000,167.89
504,1000000,239.77
505,1000000,84.92
506,1000000,146.49
507,1000000,120.87
508,1000000,46.91
509,1000000,140.78
510,1000000,145.09
511,1000000,39.18
512,1000000,216.88
513,1000000,46.8
514,1000000,46.31
515,1000000,281.41
516,1000000,0.39
517,1000000,227.66
518,1000000,182.88
519,1000000,77.06
520,1000000,273.82
521,1000000,198.81
522,1000000,0.81
523,1000000,128.14
524,1000000,107.75
525,1000000,137.79
526,1000000,224.0
527,1000000,27.96
528,1000000,3.14
529,1000000,52.6
530,1000000,94.53
531,1000000,0.91
532,1000000,50.96
533,1000000,40.12
534,1000000,251.13
535,1000000,40.93
536,1000000,189.2
537,1000000,276.38
538,1000000,191.05
539,1000000,143.48
540,1000000,47.68
541,1000000,97.18
542,1000000,46.44
543,1000000,181.7
544,1000000,124.75
545,1000000,177.89
546,1000000,192.64
547,1000000,235.06
548,1000000,11.94
549,1000000,104.03
550,1000000,96.91
551,1000000,205.5
552,1000000,141.59
553,1000000,13.52
554,1000000,8.47
555,1000000,9.52
556,1000000,62.44
557,1000000,231.63
558,1000000,65.7
559,1000000,68.09
560,1000000,271.17
561,1000000,31.76
562,1000000,145.04
563,1000000,120.38
564,1000000,147.43
565,1000000,347.04
566,1000000,179.46
567,1000000,7.38
568,1000000,333.81
569,1000000,228.35
570,1000000,54.1
571,1000000,153.96
572,1000000,252.77
573,1000000,161.36
574,1000000,12.53
575,1000000,119.48
576,1000000,232.65
577,1000000,185.26
578,1000000,145.47
579,1000000,91.84
580,1000000,142.71
581,1000000,2.1
582,1000000,101.36
583,8033804,474.92
584,1000000,4.59
585,1000000,43.09
586,1000000,0.68
587,1000000,17.65
588,1000000,0.06
589,1000000,3.1
590,1000000,174.06
591,1000000,83.38
592,1000000,239.12
593,1000000,90.96
594,1000000,250.23
595,1000000,52.09
596,1000000,71.28
597,1000000,0.0
598,1000000,261.87
599,1000000,0.48
600,1000000,19.08
