id,criteria,baseGameWins,freeGameWins,payoutMultiplier
193,basegame,0.71,0.0,0.71
194,0,0.0,0.0,0.0
195,0,0.0,0.0,0.0
196,0,0.0,0.0,0.0
197,basegame,0.28,0.0,0.28
198,0,0.0,0.0,0.0
199,0,0.0,0.0,0.0
200,basegame,1.85,0.0,1.85
201,0,0.0,0.0,0.0
202,0,0.0,0.0,0.0
203,basegame,0.22,0.0,0.22
204,0,0.0,0.0,0.0
205,0,0.0,0.0,0.0
206,0,0.0,0.0,0.0
207,basegame,0.33,0.0,0.33
208,0,0.0,0.0,0.0
209,basegame,3.3,0.0,3.3
210,basegame,13.39,0.0,13.39
211,0,0.0,0.0,0.0
212,0,0.0,0.0,0.0
213,0,0.0,0.0,0.0
214,basegame,13.39,0.0,13.39
215,0,0.0,0.0,0.0
216,0,0.0,0.0,0.0
217,0,0.0,0.0,0.0
218,0,0.0,0.0,0.0
219,0,0.0,0.0,0.0
220,0,0.0,0.0,0.0
221,0,0.0,0.0,0.0
222,basegame,3.18,0.0,3.18
223,0,0.0,0.0,0.0
224,0,0.0,0.0,0.0
225,0,0.0,0.0,0.0
226,0,0.0,0.0,0.0
227,basegame,0.45,0.0,0.45
228,0,0.0,0.0,0.0
229,0,0.0,0.0,0.0
230,0,0.0,0.0,0.0
231,0,0.0,0.0,0.0
232,basegame,1.03,0.0,1.03
233,0,0.0,0.0,0.0
234,0,0.0,0.0,0.0
235,0,0.0,0.0,0.0
236,0,0.0,0.0,0.0
237,0,0.0,0.0,0.0
238,0,0.0,0.0,0.0
239,0,0.0,0.0,0.0
240,0,0.0,0.0,0.0
241,0,0.0,0.0,0.0
242,0,0.0,0.0,0.0
243,0,0.0,0.0,0.0
244,0,0.0,0.0,0.0
245,0,0.0,0.0,0.0
246,0,0.0,0.0,0.0
247,0,0.0,0.0,0.0
248,0,0.0,0.0,0.0
249,0,0.0,0.0,0.0
250,0,0.0,0.0,0.0
251,basegame,8.51,0.0,8.51
252,0,0.0,0.0,0.0
253,0,0.0,0.0,0.0
254,basegame,0.33,0.0,0.33
255,0,0.0,0.0,0.0
256,basegame,0.09,0.0,0.09
257,0,0.0,0.0,0.0
258,basegame,1.41,0.0,1.41
259,0,0.0,0.0,0.0
260,0,0.0,0.0,0.0
261,basegame,14.95,0.0,14.95
262,0,0.0,0.0,0.0
263,basegame,0.84,0.0,0.84
264,0,0.0,0.0,0.0
265,0,0.0,0.0,0.0
266,0,0.0,0.0,0.0
267,0,0.0,0.0,0.0
268,0,0.0,0.0,0.0
269,0,0.0,0.0,0.0
270,basegame,0.45,0.0,0.45
271,0,0.0,0.0,0.0
272,0,0.0,0.0,0.0
273,basegame,0.11,0.0,0.11
274,basegame,0.51,0.0,0.51
275,basegame,4.87,0.0,4.87
276,basegame,1.4,0.0,1.4
277,0,0.0,0.0,0.0
278,0,0.0,0.0,0.0
279,0,0.0,0.0,0.0
280,basegame,0.93,0.0,0.93
281,0,0.0,0.0,0.0
282,0,0.0,0.0,0.0
283,0,0.0,0.0,0.0
284,0,0.0,0.0,0.0
285,freegame,0.0,0.1,0.1
286,basegame,0.7,0.0,0.7
287,basegame,0.23,0.0,0.23
288,basegame,0.14,0.0,0.14
289,basegame,0.98,0.0,0.98
290,0,0.0,0.0,0.0
291,0,0.0,0.0,0.0
292,0,0.0,0.0,0.0
293,basegame,1.86,0.0,1.86
294,0,0.0,0.0,0.0
295,0,0.0,0.0,0.0
296,basegame,68.63,0.0,68.63
297,0,0.0,0.0,0.0
298,0,0.0,0.0,0.0
299,0,0.0,0.0,0.0
300,0,0.0,0.0,0.0
301,0,0.0,0.0,0.0
302,0,0.0,0.0,0.0
303,basegame,0.28,0.0,0.28
304,0,0.0,0.0,0.0
305,0,0.0,0.0,0.0
306,0,0.0,0.0,0.0
307,0,0.0,0.0,0.0
